review_id,application_id,caseworker_id,reviewed_at,initial_band,final_decision,overridden,notes
1,473,10,2024-10-14,human_review,deferred,False,
2,86,9,2024-10-28,human_review,approved,False,
3,292,4,2024-10-08,human_review,deferred,False,
4,1,9,2024-10-20,human_review,approved,False,
5,391,5,2024-10-08,human_review,deferred,True,
6,317,4,2024-10-14,human_review,approved,False,
7,266,8,2024-10-23,human_review,deferred,True,
8,426,10,2024-10-09,human_review,approved,False,
9,649,5,2024-12-02,human_review,approved,False,
10,888,4,2024-11-19,human_review,deferred,False,
11,690,8,2024-12-01,human_review,approved,False,
12,850,3,2024-12-03,human_review,approved,False,
13,896,3,2024-11-11,human_review,deferred,False,
14,613,4,2024-11-18,human_review,deferred,False,
15,609,3,2024-11-16,human_review,deferred,False,
16,616,5,2024-11-19,human_review,deferred,False,
17,538,9,2024-11-10,human_review,approved,False,
18,933,1,2024-11-14,human_review,deferred,False,
19,667,9,2024-11-08,human_review,approved,False,
20,1367,4,2025-01-04,human_review,deferred,False,
21,1061,9,2024-12-25,human_review,deferred,False,
22,1136,9,2024-12-10,human_review,deferred,False,
23,1037,9,2025-01-09,human_review,approved,False,
24,1223,2,2024-12-26,human_review,deferred,False,
25,1265,8,2024-12-27,human_review,approved,False,
26,1118,9,2024-12-27,human_review,approved,False,
27,1318,9,2024-12-11,human_review,deferred,False,
28,1891,5,2025-01-04,human_review,approved,False,
29,1802,1,2025-01-18,human_review,approved,False,
30,1579,10,2025-01-30,human_review,approved,False,
31,1522,2,2025-01-08,human_review,approved,False,
32,1580,5,2025-02-01,human_review,approved,True,
33,1537,10,2025-01-31,human_review,approved,True,
34,1727,1,2025-01-24,human_review,deferred,False,
35,1697,4,2025-01-16,human_review,approved,False,
36,1464,1,2025-01-18,human_review,approved,True,
37,1586,8,2025-01-17,human_review,deferred,False,
38,1837,7,2025-01-29,human_review,approved,False,
39,1551,5,2025-02-04,human_review,approved,False,
40,1749,1,2025-01-23,human_review,approved,False,
41,2161,9,2025-02-20,human_review,approved,False,
42,1952,7,2025-02-18,human_review,deferred,False,
43,2095,4,2025-02-15,human_review,deferred,False,
44,2231,5,2025-02-28,human_review,approved,False,
45,2255,4,2025-02-19,human_review,deferred,False,
46,1972,2,2025-02-23,human_review,approved,False,
47,2059,3,2025-02-08,human_review,deferred,False,
48,1957,10,2025-02-21,human_review,deferred,False,
49,2047,3,2025-02-09,human_review,approved,False,
50,1980,5,2025-03-01,human_review,deferred,False,
51,2470,8,2025-03-15,human_review,deferred,False,
52,2425,1,2025-03-25,human_review,deferred,True,
53,2418,10,2025-03-22,human_review,deferred,False,
54,2625,6,2025-03-09,human_review,approved,True,
55,2458,3,2025-03-04,human_review,approved,False,
56,2573,2,2025-03-20,human_review,approved,False,
57,2431,7,2025-03-17,human_review,deferred,False,
58,2720,4,2025-04-01,human_review,approved,False,
59,2792,1,2025-03-04,human_review,approved,False,
