application_id,household_id,cycle_id,caseworker_id,submitted_at,amount_requested,need_category,stated_need_amount,days_since_hardship_onset,prior_applications_count,days_since_last_application,referral_source,application_channel,application_completeness,documentation_provided,status
108,38fbdb9d-4415-470b-9016-a159571e01eb,1,4,2024-10-24T09:00:00,198940.96,other,214307.97,3,0,,self,in_person,0.589,False,auto_approved
63,bcc87980-f137-4962-8912-ed2202a1ed0a,1,8,2024-10-17T09:00:00,123987.89,food,114621.18,20,0,,self,online,0.922,True,auto_approved
42,7b64ea2c-ddae-4b66-933e-05050e7dadb0,1,9,2024-10-20T09:00:00,103906.49,childcare,100481.55,12,0,,self,online,0.807,True,auto_approved
100,d280a9d1-2662-4706-a428-8ccb115695a8,1,8,2024-10-19T09:00:00,88749.49,medical,89949.29,7,0,,self,phone,1.0,True,auto_approved
58,3c26c95d-d772-472b-8923-3e0c4c38e31a,1,8,2024-10-27T09:00:00,123957.16,medical,125348.86,25,0,,caseworker_outreach,in_person,0.373,True,auto_approved
106,94d6712d-8635-451e-b2f7-16baec2ef464,1,3,2024-10-08T09:00:00,141398.19,education,139526.0,34,0,,self,online,0.844,True,auto_approved
31,b1fcec36-07c0-4550-8204-aefc6f11660b,1,1,2024-10-06T09:00:00,106467.36,utilities,113179.24,8,0,,ngo_partner,online,0.69,True,auto_approved
64,9d4d79a4-a233-4bb9-88dc-48c7a5d155fc,1,3,2024-10-16T09:00:00,86759.81,medical,96439.45,0,0,,community_leader,caseworker_submitted,0.869,True,auto_approved
41,2eb35aae-32f6-4bb2-a821-462c10657bd1,1,10,2024-10-24T09:00:00,95900.41,food,88872.07,16,0,,caseworker_outreach,online,0.652,False,auto_approved
86,d9ba4c41-97c6-419e-ab50-3d48626c03ae,1,8,2024-10-15T09:00:00,119329.22,medical,112021.51,1,0,,caseworker_outreach,in_person,0.624,True,auto_approved
33,e1be0c43-8ebf-4cf5-bb57-90a8da446f91,1,3,2024-10-04T09:00:00,111229.79,other,103335.72,3,0,,ngo_partner,caseworker_submitted,0.851,True,auto_approved
69,ef723e3b-d352-4bfb-b6bd-e49ad887fd03,1,4,2024-10-13T09:00:00,122878.03,rent_arrears,110078.63,42,0,,self,phone,0.797,True,auto_approved
47,38168768-8a98-4703-bd34-0608eceddb60,1,2,2024-10-18T09:00:00,56023.5,other,60728.08,7,0,,ngo_partner,online,0.929,True,auto_approved
57,bb7cbcdc-ad87-4795-87ab-6099a2286ab9,1,9,2024-10-23T09:00:00,35168.59,medical,33098.03,3,0,,prior_beneficiary,online,0.646,False,auto_approved
32,e50a841c-004c-4cae-826f-44e1f7175013,1,2,2024-10-27T09:00:00,105214.46,medical,94844.32,1,0,,self,in_person,0.645,True,auto_approved
71,7bc077ff-57a9-4778-b622-fe2c9dc43c13,1,9,2024-10-31T09:00:00,34950.97,food,34274.56,50,0,,caseworker_outreach,in_person,0.827,True,auto_approved
1,8cd806b7-b5b8-4bd6-beb1-270a44a3699a,1,1,2024-10-12T09:00:00,95242.72,education,92918.64,32,0,,caseworker_outreach,in_person,0.889,True,auto_approved
20,5572dc83-1e4e-4532-b626-afab1b1b2799,1,6,2024-10-04T09:00:00,61076.06,food,65744.91,0,0,,ngo_partner,online,0.863,True,auto_approved
