award_id,application_id,household_id,award_amount,award_date,need_category,outcome_followup_days
1,108,38fbdb9d-4415-470b-9016-a159571e01eb,198940.96,2024-11-04,other,172
2,63,bcc87980-f137-4962-8912-ed2202a1ed0a,112133.62,2024-10-28,food,
3,42,7b64ea2c-ddae-4b66-933e-05050e7dadb0,90792.53,2024-10-26,childcare,
4,100,d280a9d1-2662-4706-a428-8ccb115695a8,88749.49,2024-10-25,medical,231
5,58,3c26c95d-d772-472b-8923-3e0c4c38e31a,122418.8,2024-11-02,medical,171
6,106,94d6712d-8635-451e-b2f7-16baec2ef464,134743.31,2024-10-23,education,
7,31,b1fcec36-07c0-4550-8204-aefc6f11660b,106467.36,2024-10-19,utilities,
8,64,9d4d79a4-a233-4bb9-88dc-48c7a5d155fc,86759.81,2024-10-26,medical,
9,41,2eb35aae-32f6-4bb2-a821-462c10657bd1,88603.81,2024-10-26,food,
10,86,d9ba4c41-97c6-419e-ab50-3d48626c03ae,109041.86,2024-11-04,medical,
11,33,e1be0c43-8ebf-4cf5-bb57-90a8da446f91,100628.26,2024-10-19,other,
12,69,ef723e3b-d352-4bfb-b6bd-e49ad887fd03,106001.47,2024-10-30,rent_arrears,
13,47,38168768-8a98-4703-bd34-0608eceddb60,56023.5,2024-11-02,other,
14,57,bb7cbcdc-ad87-4795-87ab-6099a2286ab9,31961.11,2024-11-04,medical,238
15,32,e50a841c-004c-4cae-826f-44e1f7175013,89849.79,2024-11-02,medical,73
16,71,7bc077ff-57a9-4778-b622-fe2c9dc43c13,31249.28,2024-11-03,food,
17,1,8cd806b7-b5b8-4bd6-beb1-270a44a3699a,87540.45,2024-10-23,education,
18,20,5572dc83-1e4e-4532-b626-afab1b1b2799,61076.06,2024-10-14,food,84
19,59,303340c4-d11f-4dbe-90b6-1436af06ee29,79558.86,2024-10-23,education,
20,18,67df2d4f-808b-4c16-b640-fa09c27d9404,77627.23,2024-11-11,food,
21,39,202dcd02-de5c-4d98-a342-58f9f6a25df2,112686.51,2024-11-13,education,
22,74,f7fe0bfb-9cd3-4a5c-a6db-8d29b72a6d4e,96219.32,2024-11-16,food,
23,122,9ed9c0cc-2b26-42ad-a716-ff6f2c0907dc,101591.86,2024-10-04,rent_arrears,
24,15,52f641dd-b9eb-42b2-bc34-e5cbd8d4eef0,100239.87,2024-10-11,education,
25,2,8c327e35-801d-465e-9820-c8ce3c00bc68,68561.89,2024-10-30,other,76
26,95,fbc74b11-6dbf-4d04-8941-e4d88467097a,44797.4,2024-10-25,other,
27,81,ca2a6efc-ca75-4817-8e10-297d2ed6d4fd,50252.65,2024-10-17,rent_arrears,
28,66,8ef3b7cd-4be8-480b-a095-8a4419d2af98,61678.91,2024-11-07,medical,
29,110,471f90fe-587b-4da6-818c-ff48d4ace616,51142.28,2024-10-22,food,194
30,22,ccfccd4e-8e40-426f-aa26-5456c3756a1b,50607.08,2024-11-16,food,
31,114,d1c2a03f-68e7-4c6a-af35-2d08ff2db1da,43347.75,2024-11-03,medical,
32,50,d40081f0-5ded-4d4d-bd03-a123e5df0e77,24052.13,2024-10-23,education,
33,23,f028d01f-c105-40b2-b665-d97d9f5773ab,56558.37,2024-10-28,childcare,
34,19,1d69987e-d9f7-4e67-af3b-406817c1c2d8,94179.72,2024-11-03,education,160
35,3,2df2b118-4eac-4897-b359-369b3e1e04d8,32803.87,2024-11-07,rent_arrears,
36,9,66fbf659-41e6-4862-af8c-5fbef1075e5a,58869.28,2024-11-12,rent_arrears,195
37,70,5804d2a4-d21d-4470-b62a-9877cdc22c6c,49462.56,2024-11-01,utilities,
38,118,c1de7a9d-e698-44ad-a49d-42906fce558d,45374.74,2024-11-07,medical,
39,111,0dc105f3-5f12-4cab-a0bf-d0b5f1afb684,33926.0,2024-10-23,utilities,90
40,91,6760a50f-9384-4902-99f2-8579b8430b72,10758.77,2024-10-29,medical,
